location,item,UPC,Quantity
UC,100-S6TGK-T6424M-BLACK-XL,198895226589,2
UC,100-S6TGK-U4275M-BLACK-1X,198895226862,1
UC,100-S6TGK-U4275M-WHITE-3X,198895227067,1
UC,100-S6TGK-U4275M-WHITE-S,198895227005,1
UC,100-S6TJH-P4900M-BLACK-2X,198895227289,4
UC,100-S6TJH-P4900M-BLACK-S,198895227234,2
UC,100-S6TJH-P4900P-BLACK-PP,198895263966,2
UC,100-S6TJX-P0696M-FSTFL-1X,198895227821,1
UC,100-S6TJX-P0696M-FSTFL-XXS,198895227760,1
UC,100-S6TJX-P0696P-FSTFL-PM,198895286552,1
UC,100-S6TJX-P0696P-FSTFL-PS,198895286545,1
UC,100-S6TKO-P0696M-INK-1X,198895228095,1
UC,100-S6TKO-P0696P-INK-PL,198895286682,1
UC,100-S6TKO-P4893M-BLACK-3X,198895228927,2
UC,100-S6TKO-P4893M-DOVE-L,198895228972,33
UC,100-S6TKO-P4893M-DOVE-M,198895228965,30
UC,100-S6TKO-P4893M-DOVE-XS,198895228941,1
UC,100-S6TKO-P4893M-INK-1X,198895229085,1
UC,100-S6TKO-P4893M-INK-XL,198895229078,1
UC,100-S6TKO-P4893P-BLACK-PL,198895268886,1
UC,100-S6TKO-P4893P-BLACK-PP,198895268855,2
UC,100-S6TKO-P4902M-BLACK-L,198895229153,47
UC,100-S6TKO-P4902M-BLACK-M,198895229146,59
UC,100-S6TKO-P4902M-BLACK-XL,198895229160,19
UC,100-S6TKO-P4902M-BLACK-XXS,198895229115,2
UC,100-S6TKO-P4902M-INK-S,198895229221,1
UC,100-S6TKO-P4902P-BLACK-PP,198895268978,1
UC,100-S6TKO-P4932M-BLACK-M,198895307547,2
UC,100-S6TKO-P4932M-BLACK-S,198895307530,1
UC,100-S6TKO-P4932M-DOVE-L,198895361723,39
UC,100-S6TKO-P4932M-DOVE-M,198895361716,36
UC,100-S6TKO-P4932M-DOVE-S,198895361709,16
UC,100-S6TKO-P4932M-DOVE-XL,198895361730,36
UC,100-S6TKO-P4932M-DOVE-XS,198895361693,1
UC,100-S6TKO-P4932M-INK-XS,198895307790,1
